iter	Passed	Remaining
965	16064	150236
966	16081	150219
967	16097	150200
968	16114	150184
969	16130	150166
970	16147	150150
971	16164	150139
972	16181	150127
973	16198	150111
974	16215	150098
975	16231	150078
976	16248	150063
977	16265	150048
978	16282	150037
979	16299	150023
980	16316	150007
981	16333	149993
982	16349	149973
983	16367	149964
984	16383	149948
985	16400	149929
986	16417	149917
987	16434	149903
988	16451	149890
989	16467	149872
990	16484	149858
991	16501	149843
992	16518	149831
993	16535	149815
994	16552	149801
995	16569	149790
996	16586	149779
997	16603	149760
998	16619	149745
999	16636	149732
1000	16653	149717
1001	16671	149708
1002	16688	149695
1003	16705	149680
1004	16722	149666
1005	16739	149658
1006	16756	149643
1007	16773	149631
1008	16790	149616
1009	16807	149601
1010	16823	149583
1011	16840	149568
1012	16857	149555
1013	16874	149537
1014	16891	149524
1015	16908	149512
1016	16925	149498
1017	16941	149481
1018	16959	149470
1019	16976	149458
1020	16993	149448
1021	17011	149439
1022	17027	149418
1023	17044	149403
1024	17061	149396
1025	17078	149379
1026	17095	149364
1027	17112	149349
1028	17129	149335
1029	17146	149321
1030	17162	149304
1031	17180	149296
1032	17197	149282
1033	17214	149268
1034	17230	149247
1035	17247	149233
1036	17264	149218
1037	17281	149206
1038	17298	149189
1039	17315	149175
1040	17332	149163
1041	17349	149150
1042	17365	149132
1043	17382	149117
1044	17399	149101
1045	17416	149085
1046	17432	149069
1047	17449	149055
1048	17466	149040
1049	17483	149024
1050	17499	149006
1051	17516	148992
1052	17533	148978
1053	17550	148963
1054	17567	148948
1055	17585	148944
1056	17603	148935
1057	17620	148921
1058	17637	148909
1059	17654	148896
1060	17671	148882
1061	17687	148863
1062	17704	148851
1063	17722	148838
1064	17739	148825
1065	17755	148810
1066	17772	148793
1067	17789	148781
1068	17807	148771
1069	17823	148754
1070	17841	148741
1071	17857	148726
1072	17874	148712
1073	17891	148696
1074	17909	148686
1075	17926	148675
1076	17943	148660
1077	17959	148642
1078	17976	148627
1079	17993	148611
1080	18010	148596
1081	18027	148582
1082	18044	148570
1083	18061	148560
1084	18078	148543
1085	18095	148529
1086	18112	148514
1087	18129	148500
1088	18146	148485
1089	18162	148468
1090	18180	148457
1091	18196	148439
1092	18213	148427
1093	18231	148414
1094	18247	148397
1095	18265	148387
1096	18282	148374
1097	18299	148359
1098	18316	148344
1099	18332	148329
1100	18349	148314
1101	18366	148298
1102	18383	148281
1103	18399	148262
1104	18415	148239
1105	18432	148225
1106	18449	148214
1107	18466	148196
1108	18482	148179
1109	18499	148165
1110	18516	148150
1111	18533	148135
1112	18550	148122
1113	18567	148109
1114	18585	148103
1115	18602	148089
1116	18619	148074
