iter	Passed	Remaining
623	4572	68707
624	4583	68745
625	4591	68757
626	4599	68752
627	4606	68743
628	4613	68728
629	4620	68726
630	4628	68724
631	4634	68694
632	4641	68688
633	4648	68676
634	4656	68669
635	4664	68672
636	4671	68671
637	4679	68670
638	4687	68669
639	4694	68655
640	4701	68650
641	4709	68650
642	4717	68643
643	4724	68632
644	4731	68620
645	4739	68620
646	4746	68620
647	4754	68616
648	4761	68604
649	4768	68597
650	4776	68594
651	4783	68580
652	4790	68575
653	4797	68565
654	4805	68558
655	4812	68549
656	4820	68544
657	4826	68530
658	4835	68538
659	4842	68529
660	4849	68521
661	4856	68510
662	4864	68500
663	4871	68492
664	4878	68488
665	4887	68497
666	4894	68484
667	4902	68483
668	4909	68480
669	4917	68477
670	4924	68471
671	4932	68464
672	4939	68459
673	4947	68458
674	4955	68454
675	4962	68443
676	4969	68438
677	4976	68425
678	4983	68414
679	4990	68396
680	4997	68386
681	5004	68377
682	5012	68375
683	5020	68373
684	5030	68402
685	5039	68416
686	5047	68421
687	5055	68428
688	5063	68423
689	5070	68418
690	5078	68414
691	5085	68407
692	5093	68401
693	5101	68405
694	5108	68394
695	5115	68385
696	5121	68364
697	5129	68354
698	5136	68348
699	5144	68344
700	5151	68338
701	5159	68331
702	5166	68326
703	5173	68316
704	5181	68312
705	5188	68300
706	5195	68297
707	5203	68289
708	5210	68282
709	5218	68279
710	5225	68267
711	5232	68258
712	5240	68253
713	5247	68242
714	5254	68230
715	5261	68226
716	5269	68222
717	5277	68219
718	5284	68213
719	5291	68205
720	5299	68197
721	5306	68188
722	5313	68172
723	5319	68158
724	5326	68146
725	5333	68136
726	5341	68129
727	5348	68124
728	5355	68112
729	5363	68104
730	5370	68100
731	5377	68085
732	5385	68081
733	5392	68071
734	5400	68073
735	5407	68061
736	5415	68061
737	5422	68057
738	5430	68058
739	5438	68050
740	5445	68043
741	5452	68030
742	5460	68029
743	5469	68047
744	5478	68058
745	5487	68070
746	5496	68079
747	5505	68099
748	5514	68115
749	5522	68113
